First_Derivative,Label
150.0,0
156.27905195293133,0
162.53332335643043,0
168.73813145857247,0
174.8689887164855,0
180.9016994374948,0
186.8124552684678,0
192.57792915650725,1
198.17536741017156,1
203.58267949789965,1
208.7785252292473,1
213.74239897486896,1
218.45471059286888,1
222.8968627421412,1
227.0513242775789,1
230.9016994374948,1
234.4327925502015,1
237.6306680043864,1
240.48270524660197,1
242.97764858882516,1
245.10565162951536,1
246.85831611286312,1
248.22872507286888,1
249.21147013144775,1
249.80267284282715,1
250.0,1
249.8026728428272,1
249.21147013144773,1
248.22872507286888,1
246.85831611286312,1
245.10565162951536,1
242.9776485888252,1
240.48270524660197,1
237.63066800438637,1
234.4327925502015,1
230.9016994374948,1
227.0513242775789,1
222.89686274214117,1
218.45471059286888,1
213.742398974869,1
208.7785252292473,1
203.58267949789968,1
198.17536741017156,1
192.57792915650728,1
186.81245526846783,0
180.9016994374948,0
174.86898871648552,0
168.73813145857247,0
162.53332335643046,0
156.27905195293135,0
150.0,0
143.72094804706867,0
137.46667664356957,0
131.26186854142753,0
125.13101128351454,0
119.09830056250529,0
113.1875447315322,0
107.42207084349278,-1
101.82463258982848,-1
96.41732050210037,-1
91.22147477075274,-1
86.25760102513104,-1
81.54528940713116,-1
77.10313725785883,-1
72.94867572242106,-1
69.09830056250526,-1
65.56720744979847,-1
62.36933199561365,-1
59.51729475339805,-1
57.02235141117485,-1
54.89434837048465,-1
53.141683887136864,-1
51.77127492713113,-1
50.78852986855223,-1
50.19732715717284,-1
50.0,-1
50.19732715717284,-1
50.78852986855223,-1
51.77127492713112,-1
53.14168388713688,-1
54.89434837048462,-1
57.02235141117484,-1
59.51729475339802,-1
62.36933199561368,-1
65.5672074497985,-1
69.09830056250523,-1
72.94867572242103,-1
77.10313725785878,-1
81.54528940713111,-1
86.25760102513104,-1
91.22147477075268,-1
96.4173205021003,-1
101.8246325898284,-1
107.42207084349268,-1
113.1875447315322,0
119.09830056250524,0
125.13101128351444,0
131.26186854142753,0
137.46667664356954,0
143.72094804706867,0
149.99999999999997,0
156.27905195293127,0
162.53332335643043,0
168.7381314585724,0
174.8689887164855,0
180.90169943749476,0
186.81245526846783,0
192.57792915650725,1
198.17536741017148,1
203.5826794978996,1
208.7785252292473,1
213.742398974869,1
218.45471059286888,1
222.89686274214117,1
227.05132427757889,1
230.9016994374948,1
234.43279255020155,1
237.63066800438637,1
240.48270524660197,1
242.9776485888251,1
245.1056516295153,1
246.85831611286312,1
248.22872507286888,1
249.21147013144773,1
249.8026728428272,1
250.0,1
249.80267284282715,1
249.21147013144773,1
248.22872507286883,1
246.85831611286312,1
245.10565162951536,1
242.9776485888252,1
240.4827052466019,1
237.63066800438637,1
234.4327925502015,1
230.9016994374948,1
227.05132427757889,1
222.8968627421411,1
218.4547105928688,1
213.74239897486896,1
208.7785252292473,1
203.5826794978997,1
198.17536741017148,1
192.5779291565072,1
186.8124552684678,0
180.9016994374948,0
174.86898871648555,0
168.7381314585724,0
162.5333233564304,0
156.27905195293133,0
150.00000000000003,0
143.72094804706873,0
137.46667664356968,0
131.2618685414275,0
125.13101128351452,0
119.0983005625053,0
113.18754473153228,0
107.42207084349285,-1
101.82463258982844,-1
96.41732050210037,-1
91.22147477075272,-1
86.2576010251311,-1
81.54528940713121,-1
77.10313725785893,-1
